Feature,Importance
OverallQual,0.5452350990473284
GrLivArea,0.09906365186181126
Qual_TotalSF,0.0669986615539166
GarageArea,0.04945192976444826
TotalBsmtSF,0.03532167402943475
1stFlrSF,0.03230603927187019
BsmtFinSF1,0.025098853145882356
YearBuilt,0.02406296655108996
LotArea,0.018196131102011282
TotalSF,0.016779098367662133
OverallCond,0.015149456236059596
YearRemodAdd,0.014296355349551957
LotFrontage,0.00852975366084031
BsmtUnfSF,0.008284085363018567
GarageYrBlt,0.006672122240060138
OpenPorchSF,0.0063939673238311255
2ndFlrSF,0.005716422214315802
GarageFinish,0.00569252661708073
BsmtFinType1,0.004536588887208177
MasVnrArea,0.003697935590818075
KitchenQual,0.0035421232014039433
BsmtExposure,0.0025726787114475186
BedroomAbvGr,0.0019874128652162897
WoodDeckSF,0.00024916597038050883
EnclosedPorch,0.0001653010733121405
